label,condition,IR_hours,image file,"th,fl,hd,tr,ms,s/a,en",N of cells,Avg Cell area,min Foci N,max foci N,avg foci N,StDev Foci N
control 0hr,control,0,01 (2).tif,"5,1,35,10,5,90/32,0",125,3012.064,2,68,20.84,13.91598
control 0hr,control,0,02 (2).tif,"5,1,35,10,5,90/32,0",119,2760.933,1,78,20.60504,17.3826
control 0hr,control,0,03 (2).tif,"5,1,35,10,5,90/32,0",127,2991.425,0,78,18.97638,16.58168
control 0hr,control,0,04 (2).tif,"5,1,35,10,5,90/32,0",122,2843.131,1,60,23.14754,15.21468
control 0hr,control,0,05 (2).tif,"5,1,35,10,5,90/32,0",82,2718.732,0,50,22.0122,13.91042
control 0.5hr,control,0.5,06 (2).tif,"5,1,35,10,5,90/32,0",107,3041.972,7,58,29,12.00156
control 0.5hr,control,0.5,07 (2).tif,"5,1,35,10,5,90/32,0",131,2834.748,11,104,33.19084,14.74729
control 0.5hr,control,0.5,08 (2).tif,"5,1,35,10,5,90/32,0",188,2697.835,7,86,27.71277,12.34876
control 0.5hr,control,0.5,09 (2).tif,"5,1,35,10,5,90/32,0",93,2681.28,9,73,29.98925,13.47518
control 0.5hr,control,0.5,10 (2).tif,"5,1,35,10,5,90/32,0",140,2636.486,10,62,31.54286,12.02222
control 1hr,control,1,11 (2).tif,"5,1,35,10,5,90/32,0",166,2979.006,8,62,27.88554,11.61968
control 1hr,control,1,12 (2).tif,"5,1,35,10,5,90/32,0",195,2694.61,7,68,24.13333,10.51361
control 1hr,control,1,13 (2).tif,"5,1,35,10,5,90/32,0",209,2771.89,8,54,26.56459,9.726248
control 1hr,control,1,14 (2).tif,"5,1,35,10,5,90/32,0",156,3214.391,8,89,28.98077,14.01943
control 1hr,control,1,15 (2).tif,"5,1,35,10,5,90/32,0",137,2956.65,11,66,31.67153,11.53611
control 4hr,control,4,16 (2).tif,"5,1,35,10,5,90/32,0",90,3443.3,0,62,26.8,14.24094
control 4hr,control,4,17 (2).tif,"5,1,35,10,5,90/32,0",92,3306.522,1,85,23.29348,14.98154
control 4hr,control,4,18 (2).tif,"5,1,35,10,5,90/32,0",77,3207.195,4,109,25.68831,18.00812
control 4hr,control,4,19 (2).tif,"5,1,35,10,5,90/32,0",85,3212.506,2,90,24.68235,15.1333
control 4hr,control,4,20 (2).tif,"5,1,35,10,5,90/32,0",113,3238.469,2,53,23.10619,12.96105
control 6hr,control,6,21 (2).tif,"5,1,35,10,5,90/32,0",190,2980.605,1,63,22.11579,14.82556
control 6hr,control,6,22 (2).tif,"5,1,35,10,5,90/32,0",149,3051.752,2,56,21.25503,14.1517
control 6hr,control,6,23 (2).tif,"5,1,35,10,5,90/32,0",208,2815.938,1,68,21.21635,13.22572
control 6hr,control,6,24 (2).tif,"5,1,35,10,5,90/32,0",197,2835.472,0,70,19.66497,14.13781
control 6hr,control,6,25 (2).tif,"5,1,35,10,5,90/32,0",239,2399.368,0,48,15.74477,11.6557
control 24hr,control,24,26 (2).tif,"5,1,35,10,5,90/32,0",202,2679.995,0,34,6.569307,6.821461
control 24hr,control,24,27 (2).tif,"5,1,35,10,5,90/32,0",193,2816.606,0,63,10.05181,10.61221
control 24hr,control,24,28 (2).tif,"5,1,35,10,5,90/32,0",138,2894.971,0,57,15.15217,12.16904
control 24hr,control,24,29 (2).tif,"5,1,35,10,5,90/32,0",147,2834.925,0,61,14.12245,13.68295
control 24hr,control,24,30 (2).tif,"5,1,35,10,5,90/32,0",158,2857.728,0,60,17.98101,13.88263
das 0hr,dasatinib,0,31 (2).tif,"5,1,35,10,5,90/32,0",102,2742.706,1,66,20.58824,16.06504
das 0hr,dasatinib,0,32 (2).tif,"5,1,35,10,5,90/32,0",116,2758.466,1,50,19.92241,13.0702
das 0hr,dasatinib,0,33 (2).tif,"5,1,35,10,5,90/32,0",136,2758.125,0,56,18.35294,12.4171
das 0hr,dasatinib,0,34 (2).tif,"5,1,35,10,5,90/32,0",117,2996.009,0,86,21.88034,17.27464
das 0hr,dasatinib,0,35 (2).tif,"5,1,35,10,5,90/32,0",140,2702.093,0,87,22.26429,15.30295
das 0.5hr,dasatinib,0.5,36 (2).tif,"5,1,35,10,5,90/32,0",138,2237.486,2,70,26.92754,12.59206
das 0.5hr,dasatinib,0.5,37 (2).tif,"5,1,35,10,5,90/32,0",125,2944.312,9,83,30.96,13.46426
